claim_id,chapter,evidence_type,claim,value,unit,population,period,source_id,confidence,safe_wording,caveat
C019,05_new_advantage,external_qualitative_mixed,"ILO Poland research found formal employer introduction of GenAI at 9.4%, while 16.7% of workers reported personal use in the previous week, suggesting adoption can outpace formal governance.","{'formal_employer_introduction': 9.4, 'personal_past_week_use': 16.7}",percent,Polish workers,late 2024 survey reported in 2025,S11,high,A Poland-specific workplace-adoption finding.,"Country-specific; use as an organisational pattern, not a global rate."
C020,05_new_advantage,external_qualitative_mixed,Experienced GenAI users in ILO focus groups tended to treat verification of AI output as a normal part of work; occasional users expressed more concern about creativity and erosion of core skills.,,,Workers/managers in ILO Poland qualitative research,2025 report,S11,medium_high,"Present as a qualitative theme, not a prevalence estimate.",Focus-group theme; do not attach a population percentage.
C021,05_new_advantage,external_quantitative_qualitative,"Where GenAI was introduced with employee consultation, most surveyed workers used it and about two-thirds wanted to use it more; where dialogue was absent, 41% were firmly opposed.","{'want_more_with_consultation': '~66.7', 'opposed_without_dialogue': 41}",percent,Polish workers in ILO research,late 2024 / reported 2025,S11,medium_high,Use to show organisational context matters.,"Poland-specific; consultation is associated with attitudes, not proven as the sole cause."
C022,05_new_advantage,external_quantitative_qualitative,More than two-thirds of surveyed Polish workers reported receiving no guidance on workplace AI; only 2.1% reported clear prohibited-use boundaries.,"{'no_guidance': '>66.7', 'clear_prohibited_use_boundaries': 2.1}",percent,Polish workers in ILO research,late 2024 / reported 2025,S11,high,Use as governance-gap evidence.,Country-specific.
D001,03_value_gap,project_dataset,"The supplied dataset contains 71,913 records covering 2020–2025.",71913,records,Supplied AI/data/tech jobs-salary dataset,2020–2025,DATASET,high,The supplied dataset contains...,Dataset is not a representative sample of the global labour market.
D002,03_value_gap,project_dataset,"The overall median salary in the supplied dataset is $138,750; the middle 50% runs from $96,000 to $190,315.","{'median': 138750, 'p25': 96000, 'p75': 190315}",usd,Supplied dataset,2020–2025,DATASET,high,Descriptive dataset statistic.,Heavy US and recent-year concentration.
D003,03_value_gap,project_dataset,"Median salary rises from $85,469 at entry level to $122,000 mid-level, $156,160 senior and $190,000 executive in the supplied dataset.","{'entry': 85469, 'mid': 122000, 'senior': 156160, 'executive': 190000}",usd,Supplied dataset,2020–2025,DATASET,high,Raw medians by dataset experience label.,Not an estimate of the causal return to experience.
D004,03_value_gap,project_dataset_model,"In a 2024–2025 full-time adjusted model, AI/ML roles are associated with about 9.6% higher salary than classified software/engineering roles after controlling for experience, year, employee residence, work mode and company size.",9.6,percent_association,"39,808 classified full-time 2024–2025 records",2024–2025,DATASET,medium,Associated with about 9.6% higher salary after adjustment.,Observational association; omitted variables and dataset selection remain. Not a causal AI-skill premium.
D005,04_first_rung,project_dataset,Only about 5.5% of records in the conservatively classified AI/ML archetype are entry-level; 63.2% are senior-level.,"{'entry': 5.5, 'senior': 63.2}",percent,Conservatively classified AI/ML records in supplied dataset,2020–2025,DATASET,high,Within this dataset's classified AI/ML records.,Does not prove AI reduced entry-level hiring; title mix and dataset construction can affect the distribution.
D006,06_who_gets_value,project_dataset_quality,"83.6% of dataset records list US employee residence, while only 0.3% list India.","{'US': 83.552, 'India': 0.318}",percent,Supplied dataset,2020–2025,DATASET,high,Use as a limitation banner.,Do not use the project dataset to make representative claims about India.
D007,methodology,project_dataset_quality,"91.7% of dataset records are from 2024–2025, so raw record-count growth over time should not be interpreted as job-market growth.",91.739,percent,Supplied dataset,2024–2025 share,DATASET,high,Use shares/composition rather than raw counts for temporal story claims.,Collection intensity differs sharply by year.
