Employee_ID,Job_Title,Industry,Country,Education_Level,Years_Experience,AI_Replacement_Risk,Future_Demand_Score,Remote_Work_Possibility,Average_Salary_USD
AIJ-100106,Digital Marketer,Government,Pakistan,Master,7,0.1,0.6,No,105828
AIJ-100107,Healthcare Analyst,Energy,Australia,Bachelor,9,0.9,0.73,No,167484
AIJ-100108,Cybersecurity Analyst,Transportation,Pakistan,High School,17,0.4,0.4,Hybrid,116576
AIJ-100109,Cloud Architect,Transportation,Germany,Bachelor,12,0.91,0.21,Yes,79813
AIJ-100110,AI Engineer,Government,Germany,Bachelor,0,0.87,0.49,No,138509
AIJ-100111,IoT Specialist,Transportation,UK,Master,5,0.79,0.96,Yes,198216
AIJ-100112,Software Developer,Technology,Germany,PhD,11,0.81,0.38,Yes,215380
AIJ-100113,Machine Learning Engineer,Healthcare,Canada,Bachelor,7,0.5,0.75,Yes,142872
AIJ-100114,Cybersecurity Analyst,Energy,Australia,PhD,17,0.64,0.88,No,38305
AIJ-100115,IoT Specialist,Retail,USA,High School,21,0.24,0.89,No,178579
AIJ-100116,Data Engineer,Manufacturing,Australia,Bachelor,25,0.56,0.65,Hybrid,132015
AIJ-100117,Financial Analyst,Media,Australia,PhD,5,0.76,0.56,Hybrid,89805
AIJ-100118,Robotics Engineer,Transportation,Pakistan,Master,3,0.34,0.28,Yes,31361
AIJ-100119,Data Engineer,Education,Japan,Bachelor,21,0.06,0.53,No,52203
AIJ-100120,Business Analyst,Transportation,Canada,Bachelor,9,0.7,0.59,Yes,191656
AIJ-100121,Robotics Engineer,Transportation,Japan,Bachelor,10,0.33,0.96,No,113660
AIJ-100122,Cybersecurity Analyst,Energy,UAE,Bachelor,20,0.24,0.83,No,211622
AIJ-100123,Teacher,Healthcare,Canada,Bachelor,21,0.92,0.75,Hybrid,170746
AIJ-100124,HR Specialist,Education,UAE,Master,12,0.72,0.64,No,210267
AIJ-100125,Financial Analyst,Transportation,Canada,PhD,23,0.46,0.36,Hybrid,156596
AIJ-100126,Blockchain Developer,Education,Australia,Bachelor,5,0.55,0.46,Hybrid,141770
AIJ-100127,Data Engineer,Finance,Pakistan,Master,6,0.78,0.25,No,56673
AIJ-100128,Teacher,Government,Canada,Bachelor,10,0.21,0.73,Yes,107973
AIJ-100129,Data Engineer,Finance,UAE,Master,4,0.88,0.94,Yes,75412
AIJ-100130,Machine Learning Engineer,Healthcare,Japan,High School,25,0.42,0.86,Yes,158109
AIJ-100131,Blockchain Developer,Media,Germany,PhD,3,0.54,0.8,Hybrid,218476
AIJ-100132,DevOps Engineer,Finance,Japan,Bachelor,25,0.67,0.88,Yes,189976
AIJ-100133,Software Developer,Finance,Germany,Bachelor,22,0.76,0.93,No,102698
AIJ-100134,IoT Specialist,Manufacturing,Japan,High School,24,0.68,0.89,Hybrid,149195
AIJ-100135,HR Specialist,Finance,Japan,PhD,25,0.34,0.42,No,173474
AIJ-100136,Cybersecurity Analyst,Manufacturing,India,High School,11,0.84,0.44,Hybrid,101832
AIJ-100137,Blockchain Developer,Technology,USA,Master,3,0.12,0.67,No,166169
AIJ-100138,Teacher,Finance,UAE,Master,23,0.18,0.62,Yes,32221
AIJ-100139,Cybersecurity Analyst,Education,Singapore,Master,24,0.33,0.31,Hybrid,102605
AIJ-100140,Cybersecurity Analyst,Media,USA,Master,10,0.15,0.59,Yes,185695
AIJ-100141,Product Manager,Retail,Singapore,PhD,13,0.24,0.93,Hybrid,134326
AIJ-100142,Cybersecurity Analyst,Retail,Australia,Bachelor,1,0.62,0.86,Yes,208534
AIJ-100143,Product Manager,Media,India,Bachelor,11,0.06,0.59,Yes,120886
AIJ-100144,Financial Analyst,Technology,UAE,Bachelor,11,0.61,0.59,Yes,163898
AIJ-100145,Machine Learning Engineer,Technology,Singapore,PhD,7,0.47,0.5,No,69343
AIJ-100146,Robotics Engineer,Retail,Pakistan,High School,17,0.91,0.25,No,151921
AIJ-100147,Data Scientist,Manufacturing,USA,PhD,23,0.26,0.47,Hybrid,211786
AIJ-100148,Blockchain Developer,Healthcare,Japan,High School,16,0.52,0.75,Yes,127646
AIJ-100149,Healthcare Analyst,Transportation,India,Bachelor,2,0.77,0.75,Yes,115524
AIJ-100150,Robotics Engineer,Government,USA,Bachelor,10,0.29,0.29,Yes,71317
AIJ-100151,Cloud Architect,Technology,USA,Bachelor,4,0.14,0.28,Yes,66645
AIJ-100152,Cloud Architect,Technology,UAE,High School,5,0.78,0.27,Hybrid,116913
AIJ-100153,Digital Marketer,Retail,UAE,PhD,17,0.18,0.69,No,191736
AIJ-100154,Product Manager,Manufacturing,Australia,Master,5,0.54,0.58,Yes,178282
AIJ-100155,Digital Marketer,Government,Australia,Master,5,0.27,0.62,Yes,44656
AIJ-100156,Teacher,Education,USA,PhD,0,0.49,0.27,No,90980
AIJ-100157,HR Specialist,Healthcare,Pakistan,Master,10,0.39,0.94,Yes,133703
AIJ-100158,HR Specialist,Energy,Japan,High School,5,0.67,0.3,Hybrid,30471
AIJ-100159,Healthcare Analyst,Transportation,USA,Master,6,0.62,0.96,Yes,215851
AIJ-100160,HR Specialist,Education,UK,PhD,2,0.54,0.28,Yes,155695
AIJ-100161,Data Scientist,Energy,UK,PhD,5,0.58,0.68,Yes,156546
AIJ-100162,Financial Analyst,Technology,Australia,High School,9,0.54,0.59,Hybrid,44288
AIJ-100163,Machine Learning Engineer,Manufacturing,Australia,Master,5,0.29,0.71,No,131587
AIJ-100164,AI Engineer,Energy,Singapore,PhD,17,0.92,0.67,Hybrid,175123
AIJ-100165,Machine Learning Engineer,Education,Germany,Bachelor,1,0.16,0.8,No,75319
AIJ-100166,Blockchain Developer,Technology,Japan,PhD,3,0.55,0.88,No,166233
AIJ-100167,Teacher,Transportation,USA,Bachelor,8,0.29,0.72,No,179952
AIJ-100168,Robotics Engineer,Retail,UAE,High School,7,0.39,0.47,Yes,109444
AIJ-100169,Product Manager,Energy,UK,High School,5,0.76,0.25,Yes,216009
AIJ-100170,Teacher,Transportation,UK,PhD,18,0.66,0.39,Hybrid,158132
AIJ-100171,DevOps Engineer,Media,USA,High School,15,0.63,0.74,Yes,100538
AIJ-100172,Teacher,Energy,Japan,High School,0,0.25,0.44,Hybrid,166482
AIJ-100173,Robotics Engineer,Education,UK,Bachelor,1,0.29,0.76,Hybrid,200778
AIJ-100174,Digital Marketer,Media,UAE,Master,16,0.78,0.47,No,217005
AIJ-100175,Healthcare Analyst,Manufacturing,India,Master,14,0.25,0.89,Yes,140224
AIJ-100176,Software Developer,Education,Pakistan,PhD,18,0.42,0.89,No,69525
AIJ-100177,IoT Specialist,Healthcare,UK,PhD,20,0.74,0.33,No,71532
AIJ-100178,Financial Analyst,Retail,UK,High School,12,0.61,0.4,Hybrid,211803
AIJ-100179,Data Scientist,Education,Germany,Bachelor,6,0.37,0.35,Hybrid,135746
AIJ-100180,Cloud Architect,Energy,UAE,PhD,3,0.64,0.22,Hybrid,210813
AIJ-100181,Teacher,Healthcare,India,High School,25,0.43,0.91,Yes,164108
AIJ-100182,Data Scientist,Technology,Canada,High School,18,0.67,0.58,Hybrid,91474
AIJ-100183,Robotics Engineer,Manufacturing,Pakistan,PhD,23,0.1,0.84,Yes,40340
AIJ-100184,Prompt Engineer,Transportation,Australia,Bachelor,3,0.41,0.96,Yes,101259
AIJ-100185,IoT Specialist,Transportation,Canada,PhD,14,0.84,0.77,Yes,64250
AIJ-100186,Prompt Engineer,Finance,Singapore,High School,0,0.7,0.58,Hybrid,203987
AIJ-100187,Digital Marketer,Healthcare,UAE,PhD,25,0.25,0.71,Hybrid,135716
AIJ-100188,Teacher,Government,India,Bachelor,20,0.55,0.2,Hybrid,53827
AIJ-100189,Robotics Engineer,Media,Singapore,Master,22,0.25,0.47,Yes,196110
AIJ-100190,Healthcare Analyst,Healthcare,Australia,High School,20,0.46,0.82,Hybrid,217901
AIJ-100191,HR Specialist,Finance,UK,High School,12,0.88,0.82,Hybrid,76452
AIJ-100192,Teacher,Media,India,Master,22,0.46,0.31,Hybrid,138198
AIJ-100193,HR Specialist,Government,Australia,Master,13,0.15,0.48,Yes,155926
AIJ-100194,Financial Analyst,Transportation,Canada,Bachelor,23,0.32,0.8,Hybrid,38468
AIJ-100195,Digital Marketer,Manufacturing,Japan,Bachelor,24,0.61,0.82,Hybrid,146146
AIJ-100196,Healthcare Analyst,Transportation,UK,High School,4,0.19,0.87,No,31479
AIJ-100197,Data Engineer,Media,Australia,High School,11,0.11,0.6,Yes,139033
AIJ-100198,Digital Marketer,Technology,Pakistan,PhD,25,0.27,0.71,Yes,192825
AIJ-100199,Machine Learning Engineer,Media,Singapore,High School,20,0.34,0.27,Yes,55154
AIJ-100200,UX Designer,Media,Canada,Bachelor,8,0.08,0.26,No,76659
AIJ-100201,Robotics Engineer,Government,Canada,Master,24,0.37,0.6,No,105978
AIJ-100202,Data Scientist,Government,Japan,PhD,17,0.84,0.31,Hybrid,40950
AIJ-100203,HR Specialist,Technology,Singapore,PhD,20,0.8,0.35,Hybrid,77541
AIJ-100204,Blockchain Developer,Manufacturing,Japan,Master,22,0.11,0.35,Hybrid,157365
AIJ-100205,Blockchain Developer,Transportation,Pakistan,Master,15,0.66,0.46,Hybrid,155817
AIJ-100206,Prompt Engineer,Government,Germany,High School,17,0.62,0.84,No,181755
AIJ-100207,Machine Learning Engineer,Media,UK,PhD,5,0.5,0.72,Yes,190965
AIJ-100208,Prompt Engineer,Transportation,UAE,High School,1,0.09,0.36,Hybrid,124699
AIJ-100209,UX Designer,Energy,Germany,PhD,11,0.64,0.86,No,165440
AIJ-100210,Cloud Architect,Education,Australia,Master,23,0.19,0.32,Yes,187816
AIJ-100211,Machine Learning Engineer,Media,Australia,High School,23,0.57,0.24,Hybrid,97701
AIJ-100212,Healthcare Analyst,Transportation,Japan,High School,7,0.64,0.41,No,219841
AIJ-100213,Cybersecurity Analyst,Transportation,UK,High School,24,0.84,0.62,Hybrid,60806
AIJ-100214,Robotics Engineer,Government,Singapore,PhD,8,0.74,0.92,Yes,51972
AIJ-100215,DevOps Engineer,Government,Pakistan,Master,21,0.64,0.4,No,170536
AIJ-100216,Cloud Architect,Education,Singapore,PhD,25,0.45,0.75,No,72413
AIJ-100217,Cybersecurity Analyst,Government,USA,PhD,12,0.13,0.41,Hybrid,127212
AIJ-100218,Product Manager,Education,Japan,Bachelor,21,0.23,0.82,Yes,163837
AIJ-100219,HR Specialist,Manufacturing,Pakistan,Master,7,0.88,0.63,Hybrid,176568
AIJ-100220,Data Engineer,Government,India,PhD,12,0.9,0.83,Hybrid,97552
AIJ-100221,Product Manager,Media,USA,Master,7,0.77,0.53,No,122562
AIJ-100222,UX Designer,Education,Germany,Bachelor,7,0.71,0.39,Hybrid,93453
AIJ-100223,UX Designer,Transportation,UK,Master,12,0.49,0.98,Yes,180606
AIJ-100224,Prompt Engineer,Government,Canada,Master,11,0.67,0.21,Hybrid,85247
AIJ-100225,HR Specialist,Education,Canada,Master,25,0.3,0.34,Yes,64377
AIJ-100226,Healthcare Analyst,Transportation,India,Master,17,0.81,0.61,Hybrid,218890
AIJ-100227,Financial Analyst,Technology,Australia,High School,11,0.37,0.64,Hybrid,97558
AIJ-100228,Robotics Engineer,Transportation,UK,Bachelor,20,0.45,0.26,No,190868
AIJ-100229,Blockchain Developer,Manufacturing,Japan,PhD,13,0.29,0.71,Yes,101106
AIJ-100230,Data Engineer,Technology,USA,PhD,16,0.14,0.25,Yes,154042
AIJ-100231,Healthcare Analyst,Transportation,UAE,Master,17,0.2,0.23,No,123543
AIJ-100232,Software Developer,Retail,USA,High School,16,0.45,0.49,Yes,98106
AIJ-100233,DevOps Engineer,Media,Australia,PhD,7,0.77,0.63,Yes,79432
AIJ-100234,Blockchain Developer,Government,UAE,Master,22,0.11,0.31,Hybrid,58929
AIJ-100235,Business Analyst,Manufacturing,Australia,Master,25,0.26,0.32,No,159388
AIJ-100236,Data Scientist,Healthcare,Germany,PhD,24,0.22,0.86,No,130028
AIJ-100237,Cloud Architect,Retail,UAE,Master,6,0.09,0.94,No,166557
AIJ-100238,Teacher,Finance,Pakistan,High School,7,0.57,0.75,Yes,210461
AIJ-100239,Financial Analyst,Transportation,Germany,High School,22,0.26,0.98,No,198990
AIJ-100240,Machine Learning Engineer,Healthcare,Singapore,Bachelor,14,0.3,0.86,No,175364
AIJ-100241,IoT Specialist,Media,UK,Master,10,0.79,0.35,No,209103
AIJ-100242,Prompt Engineer,Transportation,Singapore,Master,1,0.22,0.23,No,198231
AIJ-100243,Product Manager,Technology,Canada,Master,2,0.69,0.85,Yes,99681
AIJ-100244,DevOps Engineer,Healthcare,UK,Bachelor,17,0.62,0.48,No,150250
AIJ-100245,Business Analyst,Energy,Singapore,Master,11,0.34,0.39,No,173032
AIJ-100246,UX Designer,Media,Singapore,Bachelor,3,0.82,0.22,Yes,210805
AIJ-100247,IoT Specialist,Government,Canada,Master,1,0.7,0.83,Hybrid,75325
AIJ-100248,Software Developer,Manufacturing,Singapore,Bachelor,4,0.52,0.45,Yes,178088
AIJ-100249,Cybersecurity Analyst,Energy,Singapore,PhD,24,0.72,0.63,Hybrid,98827
AIJ-100250,Cybersecurity Analyst,Healthcare,Australia,PhD,11,0.44,0.74,No,180999
AIJ-100251,Cloud Architect,Technology,Germany,Bachelor,9,0.23,0.5,Yes,52495
AIJ-100252,Data Scientist,Energy,Japan,High School,8,0.48,0.78,Yes,67053
AIJ-100253,Prompt Engineer,Education,Australia,High School,10,0.83,0.22,No,200239
AIJ-100254,Data Scientist,Manufacturing,Pakistan,Master,20,0.35,0.51,No,71157
AIJ-100255,Product Manager,Government,Germany,PhD,7,0.64,0.27,Hybrid,130193
AIJ-100256,HR Specialist,Finance,Pakistan,High School,17,0.95,0.97,Hybrid,68050
AIJ-100257,Teacher,Retail,Japan,Bachelor,19,0.15,0.35,Yes,190427
AIJ-100258,Data Scientist,Retail,Australia,Bachelor,23,0.2,0.38,Hybrid,137109
AIJ-100259,Healthcare Analyst,Energy,Japan,High School,16,0.09,0.78,Yes,129712
AIJ-100260,Blockchain Developer,Finance,Australia,Master,19,0.85,0.81,Yes,104950
AIJ-100261,Blockchain Developer,Government,Germany,PhD,2,0.42,0.56,No,76891
AIJ-100262,Prompt Engineer,Technology,UK,Master,18,0.6,0.33,Hybrid,174269
AIJ-100263,Blockchain Developer,Transportation,UAE,High School,19,0.05,0.8,No,33200
AIJ-100264,Financial Analyst,Technology,UK,High School,21,0.09,0.32,Hybrid,201252
AIJ-100265,Cybersecurity Analyst,Energy,Singapore,High School,9,0.74,0.46,No,129336
AIJ-100266,Robotics Engineer,Energy,Japan,Master,8,0.49,0.74,Hybrid,215284
AIJ-100267,Business Analyst,Government,Australia,PhD,1,0.07,0.69,No,60913
AIJ-100268,Healthcare Analyst,Energy,Japan,High School,5,0.74,0.29,Yes,117368
AIJ-100269,Product Manager,Retail,Japan,Master,17,0.78,0.93,Hybrid,44685
AIJ-100270,Machine Learning Engineer,Government,Canada,Master,22,0.81,0.65,No,132122
AIJ-100271,Cybersecurity Analyst,Transportation,Singapore,High School,25,0.39,0.23,No,82978
AIJ-100272,Product Manager,Healthcare,USA,Master,1,0.7,0.56,Hybrid,217086
AIJ-100273,Blockchain Developer,Healthcare,India,Bachelor,5,0.22,0.42,No,113663
AIJ-100274,Data Engineer,Transportation,USA,Bachelor,0,0.2,0.45,No,118798
AIJ-100275,Blockchain Developer,Government,UK,High School,25,0.73,0.84,Hybrid,50590
AIJ-100276,Blockchain Developer,Transportation,USA,High School,15,0.68,0.73,Yes,115134
AIJ-100277,Digital Marketer,Government,Germany,Bachelor,15,0.53,0.52,No,138381
AIJ-100278,Cloud Architect,Transportation,UK,Master,12,0.58,0.57,Yes,175512
AIJ-100279,Blockchain Developer,Education,Germany,Master,9,0.53,0.51,Hybrid,181501
AIJ-100280,AI Engineer,Technology,Singapore,Master,3,0.82,0.25,No,173886
AIJ-100281,DevOps Engineer,Finance,India,Bachelor,4,0.55,0.87,Yes,124447
AIJ-100282,Teacher,Finance,UAE,PhD,17,0.85,0.75,No,141595
AIJ-100283,IoT Specialist,Healthcare,UK,Master,14,0.48,0.49,Hybrid,182113
AIJ-100284,DevOps Engineer,Manufacturing,India,Master,5,0.51,0.57,Yes,116904
AIJ-100285,UX Designer,Retail,UK,Master,8,0.49,0.3,No,50148
AIJ-100286,Cybersecurity Analyst,Finance,Japan,Bachelor,15,0.77,0.88,No,119875
AIJ-100287,IoT Specialist,Media,Germany,PhD,21,0.2,0.52,Hybrid,109001
AIJ-100288,UX Designer,Manufacturing,India,Master,25,0.37,0.87,Yes,190035
AIJ-100289,Data Scientist,Energy,Canada,High School,21,0.54,0.73,No,47813
AIJ-100290,HR Specialist,Finance,Canada,Bachelor,8,0.59,0.5,No,199844
AIJ-100291,UX Designer,Retail,UK,PhD,2,0.11,0.51,No,45744
AIJ-100292,Blockchain Developer,Technology,UAE,Bachelor,20,0.08,0.26,Hybrid,95692
AIJ-100293,Data Engineer,Education,USA,PhD,22,0.44,0.87,No,48376
AIJ-100294,Business Analyst,Finance,Singapore,High School,12,0.81,0.8,Hybrid,106010
AIJ-100295,Cybersecurity Analyst,Media,India,PhD,17,0.95,0.39,No,131913
AIJ-100296,IoT Specialist,Government,USA,Bachelor,22,0.71,0.59,Hybrid,34997
AIJ-100297,Business Analyst,Energy,Pakistan,PhD,10,0.59,0.69,Yes,46543
AIJ-100298,Financial Analyst,Media,UK,PhD,7,0.18,0.53,Hybrid,212529
AIJ-100299,Robotics Engineer,Energy,UAE,Bachelor,6,0.88,0.76,Yes,185642
AIJ-100300,Cloud Architect,Media,Canada,Master,24,0.43,0.64,Hybrid,80306
AIJ-100301,UX Designer,Manufacturing,Japan,PhD,1,0.63,0.43,Yes,143946
AIJ-100302,Digital Marketer,Healthcare,Pakistan,Bachelor,3,0.43,0.79,Yes,115376
AIJ-100303,Financial Analyst,Finance,UAE,Bachelor,20,0.89,0.56,No,131536
AIJ-100304,Teacher,Finance,Japan,Bachelor,2,0.85,0.68,No,197247
AIJ-100305,HR Specialist,Technology,Australia,High School,1,0.85,0.67,No,69051
